nid,nx,ny
11,37.3732058601297,64.7046047799718
12,34.2736243281338,42.2855285312125
13,22.9376156732652,53.0510792750834
14,16.9153750967207,57.7124542591879
15,33.3880275645398,35.6263974806755
16,29.7569684683294,35.7373692207813
17,25.5945245019514,39.2888900768782
18,22.8490847061708,41.6195767387142
19,20.9006914915133,50.2764374354263
20,10.6274709556429,49.7214907600644
21,5.93366868210278,53.3840062844903
22,18.8638042849912,30.5210210677096
23,16.8268611905631,33.7395949581258
24,2.12549574293227,43.6172840246477
25,13.2843805055919,23.4179411691609
26,5.13662337714443,29.5221322496565
27,5.22519514559908,14.6500813498676
28,-1.85981388872831,20.6432944457854
29,-11.4245635932944,26.0815893491493
30,8.76771197598165,3.55153904484089
31,-1.06275224635651,9.21179257754163
32,-3.45394310563754,13.3182549874262
33,-17.7125089868929,22.6410511962262
34,-1.68269179718196,5.54927275057762
35,-4.42813830107088,1.77576839414604
36,-13.0187107037757,11.9864389735738
37,-15.1442197204384,9.10082077915172
38,23.7346236711942,71.3636826789078
01,1.6826776720723,75.6920822260165
02,-59.667285835354,122.553814776547